Age,Period,Race,BCM,BCM_LCL,BCM_UCL
30,1978,Asian,1.449410854901225,1.278019211708622,1.643787360204773
30,1978,Hispanic,2.5782799777679246,2.401669533955295,2.767877740786093
30,1978,Non-Hispanic Black,5.445879676509522,5.182101043573266,5.723085135092106
30,1978,Non-Hispanic White,3.07079292231592,2.9747496849710506,3.169937026764427
40,1978,Asian,8.932066955714882,8.163336898214858,9.773187251259992
40,1978,Hispanic,12.508532631025753,11.832086502977303,13.22365151252615
40,1978,Non-Hispanic Black,25.930505668135105,24.92678830333056,26.974639332711227
40,1978,Non-Hispanic White,18.859789833047554,18.443783603644313,19.28517923385539
50,1978,Asian,25.60379695310574,23.5502462352276,27.83641461188872
50,1978,Hispanic,31.2880583570204,29.657111310967466,33.00869681769352
50,1978,Non-Hispanic Black,58.003686834482146,55.925653635125045,60.158933650434655
50,1978,Non-Hispanic White,51.99174864405408,51.0572194451933,52.94338306002251
60,1978,Asian,34.85065617176959,31.92472199679747,38.04475527538634
60,1978,Hispanic,44.696250085856285,42.276536991157975,47.25445634667838
60,1978,Non-Hispanic Black,79.27049556767965,76.40470291279681,82.24377856317874
60,1978,Non-Hispanic White,86.79515538505471,85.30347587269765,88.31291950586203
70,1978,Asian,31.506082696240927,28.657741106110063,34.63752579754915
70,1978,Hispanic,48.22774132922128,45.397730519388496,51.234169794565496
70,1978,Non-Hispanic Black,89.79663933577889,86.32277301909085,93.41030360802559
70,1978,Non-Hispanic White,102.96255445709966,100.73849537515927,105.23571531271193
80,1978,Asian,32.00470021343279,28.98167601337378,35.34305039084125
80,1978,Hispanic,56.25566924416159,52.8326552635562,59.900459409457476
80,1978,Non-Hispanic Black,99.52488218077707,95.22280518298491,104.02132298101517
80,1978,Non-Hispanic White,123.00418057095666,118.50985645945012,127.66894577337939
30,1998,Asian,1.1189836936187452,1.0152209416060693,1.2333517318937508
30,1998,Hispanic,1.687339461896294,1.601832335503308,1.7774110289625844
30,1998,Non-Hispanic Black,4.510116110845696,4.337226154217422,4.689897784908133
30,1998,Non-Hispanic White,1.845242968194401,1.7929828789055022,1.8990262828105549
40,1998,Asian,7.132870334306478,6.772438556840409,7.5124844292076975
40,1998,Hispanic,9.445763338706318,9.156271302165704,9.74440818827035
40,1998,Non-Hispanic Black,24.418670097443325,23.78870482827261,25.065317915883792
40,1998,Non-Hispanic White,11.794172418154336,11.578170816766148,12.014203731363212
50,1998,Asian,22.74000271588465,21.82516127530258,23.693191403978396
50,1998,Hispanic,26.506983371953844,25.811903826188,27.220780466731
50,1998,Non-Hispanic Black,59.59800656867558,58.30825000959723,60.916292057732306
50,1998,Non-Hispanic White,35.98991517375796,35.48945522403886,36.4974324355629
60,1998,Asian,34.79214661927101,33.37673406792377,36.267582799246355
60,1998,Hispanic,40.09805684063406,39.04033130284483,41.184439494691404
60,1998,Non-Hispanic Black,84.906498649155,83.11791265127927,86.73357261875373
60,1998,Non-Hispanic White,64.92872869139023,64.10885375174944,65.75908884293726
70,1998,Asian,40.46035498375687,38.713220783087074,42.286337646357886
70,1998,Hispanic,55.03040038075284,53.5295140103771,56.573369328159686
70,1998,Non-Hispanic Black,110.2494155028231,107.92496284897067,112.62393145989451
70,1998,Non-Hispanic White,94.70960776506028,93.58482748740607,95.84790658740776
80,1998,Asian,49.377793141560005,46.981288116831,51.896543352910314
80,1998,Hispanic,76.16851428729751,73.88639038259885,78.52112599752343
80,1998,Non-Hispanic Black,146.3422002557908,142.94448993455427,149.82067224494693
80,1998,Non-Hispanic White,137.21516672915806,135.54361260986613,138.90733482737474
30,2018,Asian,0.9253989028692492,0.8338594073772896,1.0269874296017127
30,2018,Hispanic,1.3950554146401573,1.3055204722620404,1.4907308244234023
30,2018,Non-Hispanic Black,3.1904815085759415,2.954244045317116,3.4456098075920325
30,2018,Non-Hispanic White,1.3936613602511887,1.3032057970534447,1.4903954474793817
40,2018,Asian,6.073495388213364,5.7674111234487775,6.395823956553877
40,2018,Hispanic,6.9591159816700205,6.7234381826954115,7.203055033804132
40,2018,Non-Hispanic Black,17.127631670792127,16.45768867402385,17.824846031590234
40,2018,Non-Hispanic White,8.627370629449766,8.353510992414032,8.910208419607635
50,2018,Asian,17.543943670435173,16.87473671097903,18.239689589417313
50,2018,Hispanic,17.50136045391638,17.045816566682127,17.969078602934143
50,2018,Non-Hispanic Black,39.64506234233134,38.534278536232314,40.78786544944653
50,2018,Non-Hispanic White,22.85984671176476,22.40383731856463,23.325137754520274
60,2018,Asian,27.84107733879116,26.871076317302382,28.846093778738755
60,2018,Hispanic,30.229874597561462,29.50910065558039,30.968253788902807
60,2018,Non-Hispanic Black,64.2344260952172,62.659966421482565,65.84844728495302
60,2018,Non-Hispanic White,41.145749983132085,40.50366414770192,41.79801450803973
70,2018,Asian,36.972685883163464,35.63397534287706,38.361689602738174
70,2018,Hispanic,47.18413459916635,46.04390047999129,48.352605549560685
70,2018,Non-Hispanic Black,91.78778704869295,89.53484455710792,94.09741975843268
70,2018,Non-Hispanic White,66.96317261458213,66.00218998167634,67.93814701989736
80,2018,Asian,50.10574521503834,48.109589935232556,52.18472464500755
80,2018,Hispanic,68.71662773257381,66.94960568124372,70.53028735403018
80,2018,Non-Hispanic Black,126.06627104775542,122.75440629097552,129.46748859030174
80,2018,Non-Hispanic White,105.15516549055017,103.61312798179569,106.72015259772644
